Ion,wave_air,wave_vac,primary
Fe I,3816,3816,1
Fe I,3820,3820,1
Fe I,3826,3826,1
Fe I,3828,3828,1
Fe I,3834,3834,1
Fe I,3840,3840,1
Fe I,3841,3841,1
Mg I,3829,3829,1
Mg I,3832,3832,1
Mg I,3838,3838,1
Ca II,3968,3968,1
Ca II,8498,8498,1
Ca II,8542,8542,1
Ca II,8662,8662,1
CN-bands,3880,3880,1
CN-bands,4216,4216,1
CN-bands,9190,9190,1
CN-bands,9381,9381,1
MnI,4031,4031,1
MnI,4036,4036,1
FeI,4072,4072,1
FeI,4075,4075,1
FeI,4144,4144,1
FeI,4148,4148,1
FeI,4171,4171,1
FeI,4173,4173,1
FeI,4174,4174,1
FeI,4175,4175,1
Ca I,4227,4227,1
G-band,4310,4310,1
Mg I,4703,4703,1
Fe I,4383,4383,1
Fe I,4405,4405,1
Ti I,4533,4533,1
Ti I,4535,4535,1
Ti I,4536,4536,1
Ti I,4997,4997,1
Ti I,4999,4999,1
Ti I,5000,5000,1
Ti I,5007,5007,1
Ti I,5013,5013,1
Mg I,5167,5167,1
Mg I,5172,5172,1
Mg I,5183,5183,1
Fe I,5269,5269,1
Fe I,5328,5328,1
Fe I,5371,5371,1
Fe I,5397,5397,1
Fe I,5406,5406,1
Fe I,5430,5430,1
Fe I,5434,5434,1
Fe I,5447,5447,1
Fe I,5456,5456,1
Fe I,5587,5587,1
Fe I,5698,5698,1
Na I,5890,5890,1
Na I,5896,5896,1
Na I,8183,8183,1
Na I,8195,8195,1
TiI,6258,6258,1
TiI,6259,6259,1
TiI,6261,6261,1
TiO,5603,5603,1
TiO,6159,6159,1
TiO,7590,7590,1
TiO,8430,8430,1
TiO,8863,8863,1
ZrO,8192,8192,1
ZrO,8210,8210,1
ZrO,9299,9299,1
ZrO,9315,9315,1
ZrO,9329,9329,1
H19,3686.831,3687.881,0
H18,3691.551,3692.602,0
H17,3697.157,3698.209,0
H16,3703.859,3704.913,0
H15,3711.977,3713.033,0
H14,3721.945,3723.004,0
H13,3734.369,3735.431,0
H12,3750.158,3751.224,0
H11,3770.637,3771.708,0
H10,3797.904,3798.982,0
H9,3835.391,3836.479,0
H8,3889.064,3890.166,0
K,3933.66,3934.773,1
H,3968.47,3969.593,1
Hε,3970.079,3971.202,0
Hδ,4101.742,4102.9,1
Hγ,4340.471,4341.691,1
Hβ,4861.333,4862.691,1
HeI,5875.624,5877.253,0
Hα,6562.819,6564.632,1
H2,19564.642,19570,0
H2,20326.434,20332,0
H2,21207.193,21213,0
H2,22223.915,22230,0
H2,22463.85,22470,0
Paγ,10938.096,10941.1,1
Paβ,12818.084,12821.6,1
Paα,18750.964,18756.1,1
CIII,5695.92,5697.5,1
CIV,5801.33,5802.939,1
